
2008-10-22 16:24:30 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:24:35 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:24:44 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:24:50 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:33:33 wir sind in sCreateSurvey Line 65, START OK 
2008-10-22 16:33:33 wir sind in sCreateSurvey Line 86, OK 
2008-10-22 16:33:33 wir sind in importSurvey Line 111, OK 
2008-10-22 16:33:33 wir sind in importSurvey Line 833, OK 
2008-10-22 16:33:34 wir sind in importSurvey Line 1107, OK 
2008-10-22 16:33:34 wir sind in importSurvey Line 1121, OK 
2008-10-22 16:33:34 wir sind in importSurvey Line 1150, OK 
2008-10-22 16:33:34 wir sind in sCreateSurvey Line 91, vor import OK 
2008-10-22 16:33:34 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1373, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1377, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1434, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1457, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1473, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1497, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1603, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1631, OK 
2008-10-22 16:33:34 wir sind in activateSurvey Line 1636, OK 
2008-10-22 16:33:35 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1922, OK 
2008-10-22 16:33:35 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1925, FERTIG 
2008-10-22 16:33:35 wir sind in sCreateSurvey Line 95, aktivierung OK 
2008-10-22 16:34:13 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:34:19 wir sind in sTokenReturn Line 504, START OK 
2008-10-22 16:43:45 wir sind in sInsertToken Line 119, START OK 
2008-10-22 16:43:45 wir sind in sInsertToken Line 134, ckecks ueberstanden 
2008-10-22 16:43:45 wir sind in sInsertToken Line 138, TOken Table existiert nicht 
2008-10-22 16:43:45 wir sind in sInsertToken Line 174, Token tabelle sollte erstellt sein 
2008-10-22 16:45:15 wir sind in sInsertToken Line 119, START OK 
2008-10-22 16:45:15 wir sind in sInsertToken Line 134, ckecks ueberstanden 
2008-10-22 16:45:15 wir sind in sInsertToken Line 138, TOken Table existiert nicht 
2008-10-22 16:45:15 wir sind in sInsertToken Line 174, Token tabelle sollte erstellt sein 
2008-10-22 16:50:11 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:50:16 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:50:26 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:50:30 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:50:48 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:50:57 wir sind in sTokenReturn Line 487, START OK 
2008-10-22 16:51:03 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:43:50 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:50:44 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:50:51 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:50:57 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:51:02 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:51:08 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 09:51:34 wir sind in sInsertToken Line 119, START OK 
2008-10-23 09:51:35 wir sind in sInsertToken Line 134, ckecks ueberstanden 
2008-10-23 09:51:35 wir sind in sInsertToken Line 138, TOken Table existiert nicht 
2008-10-23 09:51:35 wir sind in sInsertToken Line 174, Token tabelle sollte erstellt sein 
2008-10-23 09:51:42 wir sind in sTokenReturn Line 487, START OK 
2008-10-23 10:17:03 wir sind in sInsertParticipants Line 272, Token tabelle sollte erstellt sein 
2008-10-23 10:17:35 wir sind in sInsertParticipants Line 272, Token tabelle sollte erstellt sein 
2008-10-23 10:23:29 wir sind in sInsertParticipants Line 272, Token tabelle sollte erstellt sein 
2008-10-23 10:25:19 wir sind in sInsertParticipants Line 272, Token tabelle sollte erstellt sein 
2008-10-23 10:26:16 wir sind in sInsertParticipants Line 272, Token tabelle sollte erstellt sein 
2008-10-23 13:48:08 wir sind in sCreateSurvey Line 132, START OK 
2008-10-23 13:48:08 wir sind in sCreateSurvey Line 153,vor import OK 
2008-10-23 13:48:08 wir sind in importSurvey Line 111, OK 
2008-10-23 13:48:08 wir sind in importSurvey Line 833, OK 
2008-10-23 13:48:09 wir sind in importSurvey Line 1107, OK 
2008-10-23 13:48:09 wir sind in importSurvey Line 1121, OK 
2008-10-23 13:48:09 wir sind in importSurvey Line 1150, OK 
2008-10-23 13:48:09 wir sind in sCreateSurvey Line 158, nach import OK 
2008-10-23 13:55:42 wir sind in sActivateSurvey Line 76, START OK 
2008-10-23 13:55:42 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1373, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1377, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1434, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1457, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1473, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1497, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1603, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1631, OK 
2008-10-23 13:55:42 wir sind in activateSurvey Line 1636, OK 
2008-10-23 13:55:42 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1922, OK 
2008-10-23 13:55:42 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1925, FERTIG 
2008-10-23 13:55:42 wir sind in sActivateSurvey Line 106, CHANGE start 
2008-10-23 13:58:05 wir sind in sActivateSurvey Line 76, START OK 
2008-10-23 13:58:05 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1373, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1377, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1434, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1457, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1473, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1497, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1603, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1631, OK 
2008-10-23 13:58:05 wir sind in activateSurvey Line 1636, OK 
2008-10-23 13:58:05 wir sind in sActivateSurvey Line 106, CHANGE start 
2008-10-23 13:58:05 wir sind in sActivateSurvey Line 112, CHANGE end 
2008-10-23 13:58:05 wir sind in sActivateSurvey Line 117, aktivierung OK 
2008-10-23 15:45:41 wir sind in sCreateSurvey Line 136, START OK 
2008-10-23 15:45:41 wir sind in sCreateSurvey Line 157,vor import OK 
2008-10-23 15:49:46 wir sind in sCreateSurvey Line 136, START OK 
2008-10-23 15:49:46 wir sind in sCreateSurvey Line 157,vor import OK 
2008-10-23 15:49:46 wir sind in importSurvey Line 144, OK 
2008-10-23 15:49:46 wir sind in importSurvey Line 866, OK 
2008-10-23 15:49:46 wir sind in importSurvey Line 1140, OK 
2008-10-23 15:49:46 wir sind in importSurvey Line 1154, OK 
2008-10-23 15:49:46 wir sind in importSurvey Line 1183, OK 
2008-10-23 15:49:46 wir sind in sCreateSurvey Line 162, nach import OK 
2008-10-23 15:56:11 wir sind in sActivateSurvey Line 79, START OK 
2008-10-23 15:56:11 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1412, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1416, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1473, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1496, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1512, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1536, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1642, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1670, OK 
2008-10-23 15:56:11 wir sind in activateSurvey Line 1675, OK 
2008-10-23 15:56:11 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1961, OK 
2008-10-23 15:56:11 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1964, FERTIG 
2008-10-23 15:56:11 wir sind in sActivateSurvey Line 109, CHANGE start 
2008-10-23 15:56:58 wir sind in sActivateSurvey Line 79, START OK 
2008-10-23 15:56:58 wir sind in D:\xampp\htdocs\limesource\limesurvey\admin\japh.helper.php - activateSurvey Line 1412, OK 
2008-10-23 15:56:58 wir sind in activateSurvey Line 1416, OK 
2008-10-23 15:56:58 wir sind in activateSurvey Line 1473, OK 
2008-10-23 15:56:58 wir sind in activateSurvey Line 1496, OK 
